,region,room_availability_bs,price,rating,transaction_count,tipe_kos,room_area,is_discount,region_group,Parkir_Motor,Lemari_Baju,WiFi,Bantal,Dapur,AC,K_Mandi_Dalam,Shower,Kloset_Duduk,Meja,Jendela,R_Jemur,TV,Kulkas,Penjaga_Kos,Kursi,R_Tamu,Parkir_Mobil,Parkir_Sepeda,Cermin,Ventilasi,CCTV,Parkir_Motor_&_Sepeda,Guling,Ember_mandi,K_Mandi_Luar,Jemuran,Dispenser,Wastafel,Air_panas,R_Makan,R_Cuci,R_Santai,Kloset_Jongkok,Termasuk_listrik
635,Bekasi,0.0,1500000,0.0,0.0,Kos Campur,12.0,0,Bekasi,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
636,Bekasi,0.0,1500000,0.0,0.0,Kos Campur,12.0,0,Bekasi,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
637,Bekasi,0.0,1500000,0.0,0.0,Kos Campur,12.0,0,Bekasi,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
638,Bekasi,0.0,1400000,0.0,1.0,Kos Campur,15.0,0,Bekasi,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1
639,Tangerang,2.0,1300000,4.8,8.0,Kos Putri,12.0,1,Tangerang,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1
640,Tangerang,1.0,1400000,4.9,11.0,Kos Putri,12.0,0,Tangerang,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1
641,Depok,0.0,1800000,5.0,8.0,Kos Putri,12.0,1,Depok,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1
642,Depok,0.0,1500000,4.9,8.0,Kos Putri,10.8,1,Depok,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1
643,Bekasi,0.0,1500000,0.0,0.0,Kos Putra,9.0,0,Bekasi,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1
644,Tangerang,1.0,800000,0.0,0.0,Kos Campur,9.0,0,Tangerang,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1
645,Bekasi,0.0,1300000,0.0,0.0,Kos Putri,9.0,0,Bekasi,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
646,Bekasi,0.0,1300000,0.0,0.0,Kos Putri,9.0,0,Bekasi,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
647,Bekasi,0.0,1300000,0.0,0.0,Kos Putri,9.0,0,Bekasi,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
648,Bekasi,0.0,1300000,0.0,0.0,Kos Putri,9.0,0,Bekasi,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
649,Bekasi,0.0,1300000,0.0,0.0,Kos Putri,9.0,0,Bekasi,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
650,Bekasi,0.0,780000,0.0,0.0,Kos Putri,9.0,0,Bekasi,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
651,Tangerang,0.0,1300000,4.6,0.0,Kos Campur,4.6,1,Tangerang,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
652,Bogor,1.0,500000,0.0,0.0,Kos Campur,15.0,0,Bogor,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
653,Tangerang,0.0,1100000,0.0,0.0,Kos Campur,12.0,0,Tangerang,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1
654,Tangerang,0.0,1300000,0.0,0.0,Kos Campur,15.0,0,Tangerang,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
655,Bekasi,0.0,800000,0.0,0.0,Kos Putri,12.5,0,Bekasi,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1
656,Jakarta Timur,1.0,1700000,5.0,10.0,Kos Campur,9.0,0,Jakarta,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
657,Tangerang,2.0,700000,0.0,0.0,Kos Putri,12.0,0,Tangerang,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1
658,Jakarta Timur,1.0,900000,0.0,1.0,Kos Campur,9.0,0,Jakarta,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1
659,Bekasi,0.0,1200000,0.0,0.0,Kos Putri,9.0,0,Bekasi,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
660,Bogor,0.0,600000,0.0,0.0,Kos Putra,12.0,0,Bogor,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
661,Bogor,0.0,800000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
662,Bogor,0.0,1550000,0.0,0.0,Kos Putri,12.0,0,Bogor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1
663,Tangerang,2.0,1200000,0.0,0.0,Kos Putri,12.0,0,Tangerang,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1
664,Jakarta Barat,0.0,3000000,0.0,8.0,Kos Campur,12.0,0,Jakarta,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
665,Bekasi,0.0,850000,0.0,2.0,Kos Putri,9.0,0,Bekasi,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1
666,Bogor,1.0,600000,5.0,1.0,Kos Putri,9.0,0,Bogor,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
667,Tangerang,1.0,1900000,0.0,0.0,Kos Campur,16.0,1,Tangerang,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1
668,Bogor,2.0,800000,0.0,3.0,Kos Putri,15.0,0,Bogor,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
669,Tangerang,1.0,600000,0.0,0.0,Kos Putri,9.0,0,Tangerang,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1
